crawl_date,crawl_datetime,id,name,price,url,rooms,m2,height,type,elevator,seller_phone,description,euro_per_m2,seller,seller_url
2022-04-09,2022-04-09 16:35:58,96962240,Piso en calle de San Martín; Centro; Valladolid,265.000,/inmueble/96962240/,4,118,Planta 5ª,exterior con ascensor,yes,983 282 709,PRECIOSO PISO REFORMADO EN EL CENTRO DE VALLADOLID.Situado en una zona muy céntrica de la ciudad; próximo a zona de la Catedral; Univers...,2245.76,SIAVA INMOBILIARIA,/pro/siava/
2022-04-09,2022-04-09 16:35:58,95017086,Ático en FUENTE DORADA; Centro; Valladolid,220.000,/inmueble/95017086/,3,89,Planta 5ª,exterior con ascensor,yes,983 983 834,VIVIR EN FUENTE DORADA TRANQUILAMENTE. Vive en el centro centro de Valladolid. TOTALMENTE REFORMADO y AMUEBLADO. TRES dormitorios y DOS b...,2471.91,,
2022-04-09,2022-04-09 16:35:58,96697429,Piso en calle Colmenares; 4; Centro; Valladolid,365.000,/inmueble/96697429/,1,99,Planta 2ª,exterior con ascensor,yes,983 280 726,Engel & Völkers presenta este exclusivo apartamento de un dormitorio en un renovado edificio de principios del siglo El acceso a la vivie...,3686.87,ENGEL & VÖLKERS ● Valladolid,/pro/engelvoelkersvalladolid/
2022-04-09,2022-04-09 16:35:58,96108603,Piso en LOPEZ GOMEZ; 30; Centro; Valladolid,440.000,/inmueble/96108603/,5,209,Planta 4ª,exterior con ascensor,yes,983 981 815,Espléndido piso de 5 dormitorios; salón de 70 m2 aproximados; gran cocina con despensa y a continuación cuarto de la plancha; la cocina t...,2105.26,Fin-vall gestion inmobiliaria,/pro/finvallgestioninmobiliaria/
2022-04-09,2022-04-09 16:35:58,95851298,Piso en calle Rondilla Santa Teresa; 11; Centro; Valladolid,135.000,/inmueble/95851298/,3,80,Planta 1ª,exterior con ascensor,yes,983 281 785,INMOBILIARIA ESTUDIO RONDILLA. Venta de piso junto al antiguo Hospital Rio Hortega. A tan sólo cinco minutos del Puente Mayor. La viviend...,1687.5,,
2022-04-09,2022-04-09 16:35:58,93792778,Piso en calle Independencia 10 & Calle García Valladolid; 2; Centro; Valladolid,296.000,/inmueble/93792778/,2,90,Planta 1ª,exterior con ascensor,yes,983 282 734,2 plazas de garaje incluidas en el precio..Excelente promoción de viviendas en el centro de Valladolid distribuidas en dos edificios con...,3288.89,,
2022-04-09,2022-04-09 16:35:58,93792754,Piso en calle Independencia 10 & Calle García Valladolid; 2; Centro; Valladolid,374.000,/inmueble/93792754/,2,115,Planta 3ª,exterior con ascensor,yes,983 282 734,Incluye 2 plazas de garaje..Excelente promoción de viviendas en el centro de Valladolid distribuidas en dos edificios con fachadas a las...,3252.17,,
2022-04-09,2022-04-09 16:35:58,93792747,Dúplex en calle Independencia 10 & Calle García Valladolid; 2; Centro; Valladolid,360.000,/inmueble/93792747/,2,126,Planta 3ª,exterior con ascensor,yes,983 282 734,2 plazas de garaje incluidas en el precio..Excelente promoción de viviendas en el centro de Valladolid distribuidas en dos edificios con...,2857.14,,
2022-04-09,2022-04-09 16:35:58,93792857,Piso en calle Independencia 10 & Calle García Valladolid; 2; Centro; Valladolid,225.000,/inmueble/93792857/,1,75,Planta 4ª,exterior con ascensor,yes,983 282 734,Excelente promoción de viviendas en el centro de Valladolid distribuidas en dos edificios con fachadas a las calles García Valladolid e I...,3000.0,,
2022-04-09,2022-04-09 16:35:58,94520308,Piso en calle de Labradores; 14; Centro; Valladolid,140.000,/inmueble/94520308/,3,81,Planta 1ª,interior con ascensor,yes,983 281 703,Para HACER de una.CASA un HOGAR se.necesita VIVIR.MUCHO en ella..Hay viviendas en las que nada más entrar en ellas te dan ganas de e...,1728.4,,
2022-04-09,2022-04-09 16:35:58,90469141,Piso en Peru; 2; Centro; Valladolid,385.000,/inmueble/90469141/,5,195,Planta 2ª,exterior con ascensor,yes,983 981 815,Piso con grandes posibilidades. Casi en su totalidad es exterior y cuenta con una terraza de 12 metros. Actualmente se encuentra distribu...,1974.36,Fin-vall gestion inmobiliaria,/pro/finvallgestioninmobiliaria/
