crawl_date,crawl_datetime,id,name,price,url,rooms,m2,height,type,elevator,seller_phone,description,seller,seller_url
2022-04-09,2022-04-09 16:24:00,95793830,Piso en calle de Portillo de Balboa; 25; Rondilla - Santa Clara; Valladolid,119.000,/inmueble/95793830/,2,91,Planta 3ª,exterior sin ascensor,no,675 409 233,Piso totalmente reformado de 85 m2 de superficie útil; en tercera planta; en la mejor zona de Rondilla-Santa Clara; junto a las Angélicas...,,
2022-04-09,2022-04-09 16:24:00,96695566,Piso en calle Nebrija; Rondilla - Santa Clara; Valladolid,59.500,/inmueble/96695566/,3,60,Planta 1ª,exterior con ascensor,yes,983 985 456,,,
2022-04-09,2022-04-09 16:24:00,96839063,Piso en Rondilla - Santa Clara; Valladolid,161.000,/inmueble/96839063/,4,112,Planta 4ª,exterior con ascensor,yes,665 674 601,EXCELENTE PISO MUY BIEN SITUADO JUNTO A SANTA CLARA!.Vivienda de 112 m2; con 4 dormitorios; 1 baño; salón; cocina amueblada con electrodo...,"Activa Soluciones Inmobiliarias, S.L.",/pro/1100145471389704944-130017525/
2022-04-09,2022-04-09 16:24:00,92355488,Piso en Rondilla - Santa Clara; Valladolid,138.000,/inmueble/92355488/,3,105,Planta 5ª,exterior con ascensor,yes,665 674 601,Piso exterior muy soleado; con buena altura; sin barreras arquitectónicas; portal nuevo y ascensor..Vivienda de 105 m2; con 3 dormitorios...,"Activa Soluciones Inmobiliarias, S.L.",/pro/1100145471389704944-130017525/
2022-04-09,2022-04-09 16:24:00,96661824,Piso en Rondilla - Santa Clara; Valladolid,132.000,/inmueble/96661824/,4,88,Planta 4ª,exterior con ascensor,yes,983 985 243,,,
2022-04-09,2022-04-09 16:24:00,94824077,Piso en Rondilla - Santa Clara; Valladolid,80.000,/inmueble/94824077/,3,72,Planta 5ª,exterior con ascensor,yes,665 674 601,PISO FAMILIAR Y LUMINOSO!.Vivienda de 72 m2; con 3 dormitorios; 1 baño; salón y cocina amueblada simple con salida a galería cubierta..Ca...,"Activa Soluciones Inmobiliarias, S.L.",/pro/1100145471389704944-130017525/
2022-04-09,2022-04-09 16:24:00,92170960,Piso en PORTILLO DE BALBOA; Rondilla - Santa Clara; Valladolid,138.000,/inmueble/92170960/,3,105,Planta 5ª,exterior con ascensor,yes,983 986 404,CYM inmobiliaria; vende piso muy amplio; exterior a la calle portillo de balboa..Tres dormitorios y salon con balcon a la calle; cocina m...,,
2022-04-09,2022-04-09 16:24:00,84501711,Piso en paseo del Renacimiento; Valladolid; Rondilla - Santa Clara; Valladolid,90.000,/inmueble/84501711/,3,86,Planta 5ª,interior con ascensor,yes,983 281 384,Inmobiliaria DUERO LORENZO vende piso en el Paseo de Renacimiento al lado de Mercadona; consta de 3 dormitorios; salón; cocina equipada c...,,
2022-04-09,2022-04-09 16:24:00,90637126,Piso en cerrada; Rondilla - Santa Clara; Valladolid,117.000,/inmueble/90637126/,3,76,Planta 1ª,exterior con ascensor,yes,633 169 650,OPORTUNIDAD; Bonito piso junto Santa Clara; a un paso del hospital clínico; en la Calle cerrada; está todo reformado; tiene tres dormitor...,,
2022-04-09,2022-04-09 16:24:00,97096804,Piso en Rondilla - Santa Clara; Valladolid,119.900,/inmueble/97096804/,2,67,Planta 3ª,exterior con ascensor,yes,983 981 058,Piso semiamueblado y reformado totalmente en Rondilla..Tiene 2 dormitorios; salón; cocina amueblada y 1 baño..Los suelos de parquet; las...,,
2022-04-09,2022-04-09 16:24:00,96995265,Piso en Rondilla - Santa Clara; Valladolid,113.600,/inmueble/96995265/,3,94,Planta 4ª,exterior con ascensor,yes,983 981 058,Piso en buena zona de la Rondilla..Tiene 3 dormitorios; salón; cocina amueblada con electrodomésticos y 1 baño..Una galería cubierta..La...,,
2022-04-09,2022-04-09 16:24:00,96898632,Piso en calle de Portillo de Balboa; 38; Rondilla - Santa Clara; Valladolid,180.000,/inmueble/96898632/,4,95,Planta 3ª,exterior con ascensor,yes,691 670 598,Espacioso piso de 4 dormitorios; salón-comedor; cocina reformada; galería cubierta; baño y amplio balcón. Muy luminoso y amueblado..Inclu...,,
2022-04-09,2022-04-09 16:24:03,91900332,Piso en calle de Tirso de Molina; 30; Rondilla - Santa Clara; Valladolid,80.000,/inmueble/91900332/,2,70,Bajo,exterior con ascensor,yes,636 542 063,Vendo piso en planta baja; total accesibilidad; portal reformado. A 5 minutos de San Pablo. En calle comercial y animada. Calefacción de...,,
2022-04-09,2022-04-09 16:24:03,90796160,Piso en calle del Cardenal Torquemada; 5; Rondilla - Santa Clara; Valladolid,89.900,/inmueble/90796160/,3,69,Planta 5ª,exterior con ascensor,yes,647 432 811,Piso en una de las calles principales del barrio de la Rondilla; próximo a San Pablo y muy próximo al centro sin pasar ni puentes ni túne...,,
2022-04-09,2022-04-09 16:24:03,92998308,Piso en calle de Portillo de Balboa; 4; Rondilla - Santa Clara; Valladolid,131.000,/inmueble/92998308/,2,65,Planta 6ª,interior con ascensor,yes,644 846 409,Bonito apartamento muy bien situado. Muy poco gasto de mantenimiento. Ideal inversores; fácil alquiler...,,
2022-04-09,2022-04-09 16:24:03,88641441,Piso en calle Olmo; 2; Rondilla - Santa Clara; Valladolid,170.000,/inmueble/88641441/,3,93,Planta 2ª,exterior sin ascensor,no,699 324 108,Abstenerse inmobiliarias.,,
2022-04-09,2022-04-09 16:24:03,87498479,Piso en calle Moradas; 12; Rondilla - Santa Clara; Valladolid,110.000,/inmueble/87498479/,3,70,Bajo,exterior con ascensor,yes,697 671 892,NO INMOBILIARIAS.Precioso piso reformado totalmente..A estrenar..Distribución independiente..2 baños completos..Exterior y luminoso....,,
2022-04-09,2022-04-09 16:24:03,39864210,Piso en Rondilla - Santa Clara; Valladolid,83.600,/inmueble/39864210/,3,76,Planta 5ª,exterior con ascensor,yes,983 981 058,Piso en la Rondilla de 3 dormitorios; calefacción de gas natural; suelos de gres y corcho; ventanas de aluminio. La cocina está amueblada...,,
2022-04-09,2022-04-09 16:24:03,37791761,Piso en Rondilla - Santa Clara; Valladolid,111.900,/inmueble/37791761/,2,56,Planta 2ª,exterior con ascensor,yes,983 981 058,Piso totalmente reformado en buena zona de Rondilla junto a la Avda. de Palencia.2 dormitorios; suelos de gres; ventanas climalit; puert...,,
2022-04-09,2022-04-09 16:24:03,36296689,Piso en Rondilla - Santa Clara; Valladolid,105.000,/inmueble/36296689/,3,80,Planta 4ª,exterior con ascensor,yes,983 982 910,Piso de unos 64 metros útiles. 3 habitaciones. 1 baño. Salon independiente. Cocina amueblada+electrodomesticos. Sin calefaccion. Terraza...,,
2022-04-09,2022-04-09 16:24:03,1298276,Piso en Rondilla - Santa Clara; Valladolid,134.000,/inmueble/1298276/,3,70,Planta 3ª,exterior sin ascensor,no,983 981 058,Piso de 3 dormitorios; calefacción de gas natural; suelos de gres; cocina amueblada con electrodomésticos; una terraza cubierta; ventanas...,,
2022-04-09,2022-04-09 16:24:03,96726044,Piso en Rondilla - Santa Clara; Valladolid,71.900,/inmueble/96726044/,3,65,Bajo,con ascensor,yes,983 281 962,Piso 65 m² en Valladolid; Valladolid Rebajado 3.000 euros; piso totalmente reformado al lado de calle Tirso de Molina; luminoso; exterior...,,
2022-04-09,2022-04-09 16:24:03,37898508,Piso en Rondilla - Santa Clara; Valladolid,176.000,/inmueble/37898508/,3,90,Planta 4ª,exterior con ascensor,yes,983 986 243,Excelente vivienda en Santa Clara; 3 dormitorios; amplio salon independiente; ascensor; calefaccion central; armarios empotrados; Ven a V...,,
2022-04-09,2022-04-09 16:24:03,97204855,Piso en Rondilla - Santa Clara; Valladolid,105.000,/inmueble/97204855/,3,90,Planta 4ª,exterior con ascensor,yes,918 003 095,Inmueble en perfecto estado; para entrar a vivir..Distribuido en 3 dormitorios; un baño con ducha; salón comedor y cocina completamente...,,
2022-04-09,2022-04-09 16:24:03,84169049,Piso en calle Moradas; 38; Rondilla - Santa Clara; Valladolid,89.000,/inmueble/84169049/,3,66,Planta 2ª,exterior con ascensor,yes,983 253 196,Se vende piso amueblado; zona Rondilla; tercero con ascensor y calefacción individual; para más información; pueden llamar al teléfono: 9...,,
2022-04-09,2022-04-09 16:24:03,95647060,Piso en Rondilla - Santa Clara; Valladolid,83.000,/inmueble/95647060/,2,78,Planta 4ª,interior con ascensor,yes,983 981 058,Piso en Rondilla para arreglar.Tiene 2 dormitorios; salón; cocina y 2 baños..Ascensor.Muy soleado.,,
2022-04-09,2022-04-09 16:24:03,36237928,Piso en calle serafín; 3; Rondilla - Santa Clara; Valladolid,110.000,/inmueble/36237928/,3,65,Planta 3ª,exterior con ascensor,yes,646 782 773,Piso reformado; parquet y pintura nuevo. Portero nuevo con cámara. Amueblado completamente; adaptado para alquiler por habitaciones. Coci...,,
2022-04-09,2022-04-09 16:24:03,29561896,Piso en calle Moradas; 19; Rondilla - Santa Clara; Valladolid,120.000,/inmueble/29561896/,3,85,Planta 1ª,exterior con ascensor,yes,695 844 708,,,
